G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8438,112.432,124.92444444444445,0.6698667413826517,0.7463276686875495
37.5,0.8733,115.084,127.8711111111111,0.666211696980224,0.7422554247630596
40.0,0.8954,116.868,129.85333333333332,0.6607716625426798,0.7361944458122731
45.0,0.9486,119.661,132.95666666666668,0.6409339635177781,0.7140924025986918
50.0,1.004,121.143,134.60333333333332,0.6149619385547567,0.685155840079201
55.0,1.0231,118.461,131.6233333333333,0.5944871508929528,0.6623439887086346
60.0,1.0531,115.59,128.43333333333334,0.5630127254193176,0.6272769624840863
65.0,1.0742,111.5,123.88888888888889,0.5318775955882263,0.5925879602906655
70.0,1.0973,108.206,120.22888888888887,0.49827022956230016,0.5551445322364714
