G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8234,99.9,111.0,0.6827499305477492,0.7606813900187531
37.5,0.8551,104.8,116.44444444444444,0.6800934257610393,0.7577216625060387
40.0,0.8756,106.3,118.1111111111111,0.6743597939565726,0.7513335739603856
45.0,0.9226,107.281,119.20111111111112,0.6565486569720318,0.7314894116499695
50.0,0.9704,107.603,119.55888888888887,0.6258531038073142,0.6972901609374876
55.0,0.9944,104.8,116.44444444444444,0.6022816177275435,0.6710281431858601
60.0,1.0223,102.81,114.23333333333332,0.5700098734216813,0.6350727893753975
65.0,1.0434,98.619,109.57666666666668,0.5371861970374224,0.5985025040331896
70.0,1.0609,94.229,104.69888888888887,0.502492659855525,0.5598489254571793
