G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8641,121.945,135.49444444444444,0.6500307058342221,0.7242274788254497
37.5,0.8933,124.839,138.71,0.6465328479910415,0.7203303632825686
40.0,0.914,126.881,140.9788888888889,0.6415478290291314,0.714776336861543
45.0,0.9627,128.077,142.30777777777777,0.627558751907649,0.6991904976637099
50.0,1.0103,131.355,145.95,0.6041820676809333,0.6731455171283894
55.0,1.0561,131.397,145.99666666666664,0.5774360837655882,0.6433466532810923
60.0,1.0805,128.842,143.1577777777778,0.5544541982634478,0.617741535174387
65.0,1.1016,124.145,137.93888888888887,0.5262528965853097,0.5863212385166432
70.0,1.1234,120.787,134.20777777777778,0.4969555925948948,0.5536798380182918
