G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.7911,80.094,88.99333333333333,0.6788221627728875,0.7563052931244545
37.5,0.8185,84.545,93.93888888888888,0.6852972340821294,0.7635194516671481
40.0,0.8368,84.513,93.90333333333334,0.6773261190365746,0.7546384857357602
45.0,0.8844,87.597,97.32999999999998,0.6634805272415597,0.7392125097802379
50.0,0.9174,85.435,94.92777777777778,0.6362923806048666,0.7089210132156885
55.0,0.9541,86.455,96.0611111111111,0.6040795918116867,0.6730313443058462
60.0,0.9677,82.365,91.51666666666668,0.5789002781386268,0.6449779759090524
65.0,0.9933,78.387,87.09666666666666,0.5382177296711389,0.5996517794011647
70.0,1.0135,75.668,84.07555555555557,0.5031442658202478,0.5605749080004396
