G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8355,107.265,119.18333333333334,0.6769398233909206,0.7542080969571653
37.5,0.8661,109.887,122.09666666666666,0.6723590823689712,0.7491044941708612
40.0,0.8838,112.032,124.48,0.6710401355159722,0.7476349981217071
45.0,0.9342,113.96,126.6222222222222,0.6510369762474271,0.7253486084549133
50.0,0.976,112.942,125.4911111111111,0.6260841357864709,0.6975475637129122
55.0,1.013,113.2,125.77777777777776,0.5970929713825127,0.6652472466416636
60.0,1.0385,109.681,121.86777777777776,0.5683535765012574,0.633227436944968
65.0,1.0657,105.361,117.06777777777778,0.5304732093270653,0.591023272481168
70.0,1.0789,101.081,112.31222222222222,0.5009652228271863,0.5581471414365633
