G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8109,94.013,104.4588888888889,0.6889154815367894,0.7675506985118522
37.5,0.8453,97.858,108.73111111111112,0.6839140023740009,0.7619783330651835
40.0,0.8624,99.016,110.01777777777778,0.6792738030155272,0.7568084851603495
45.0,0.9165,102.681,114.09,0.6591401552984903,0.7343767126382246
50.0,0.9498,99.403,110.4477777777778,0.6320652264476684,0.7042113569326901
55.0,0.9828,99.713,110.7922222222222,0.6047817261311047,0.6738136226865209
60.0,1.0064,96.223,106.91444444444444,0.5732099266178948,0.6386381078097424
65.0,1.0277,91.445,101.60555555555554,0.5384793513279503,0.5999432634667913
70.0,1.0449,88.619,98.46555555555555,0.505045012244514,0.5626926122540659
