G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff,Head,Predicted_Eff
35.0,0.7911,80.094,88.99333333333333,0.6788221627728875,0.7563052931244545,15.0,0.6788228508192754
70.0,1.0135,75.668,84.07555555555557,0.5031442658202478,0.5605749080004396,15.0,0.5031412894422553
35.0,0.8641,121.945,135.49444444444444,0.6500307058342221,0.7242274788254497,22.0,0.6500285733025665
70.0,1.1234,120.787,134.20777777777778,0.4969555925948948,0.5536798380182918,22.0,0.49695566235119903
35.0,0.8355,107.265,119.18333333333334,0.6769398233909206,0.7542080969571653,19.0,0.6769364422454681
70.0,1.0789,101.081,112.31222222222222,0.5009652228271863,0.5581471414365633,19.0,0.5009650632405742
45.0,0.9165,102.681,114.09,0.6591401552984903,0.7343767126382246,17.0,0.6591405577347117
45.0,0.9486,119.661,132.95666666666668,0.6409339635177781,0.7140924025986918,20.0,0.6409365472232512
55.0,0.9944,104.8,116.44444444444444,0.6022816177275435,0.6710281431858601,18.0,0.6022811797361313
40.0,0.8954,116.868,129.85333333333332,0.6607716625426798,0.7361944458122731,20.0,0.6607699593045865
50.0,0.9174,93.329,103.69888888888887,0.6474481321274831,0.7213501211441502,16.0,0.6474463572846356
60.0,1.0605,123.429,137.14333333333337,0.564874620149229,0.6293513803753944,21.0,0.5648706516677404
35.0,0.8234,99.9,111.0,0.6827499305477492,0.7606813900187531,18.0,0.6827514932487331
70.0,1.0135,82.158,91.28666666666666,0.5136003927095351,0.5722245336986428,16.0,0.5136017642378364
45.0,0.9627,128.077,142.30777777777777,0.627558751907649,0.6991904976637099,22.0,0.6275582308367086
40.0,0.8368,84.513,93.90333333333334,0.6773261190365746,0.7546384857357602,15.0,0.6773256193982224
70.0,1.0973,108.206,120.22888888888887,0.4982702295623001,0.5551445322364714,20.0,0.4982716686497235
35.0,0.8562,117.361,130.4011111111111,0.65890508837461,0.7341148143554065,21.0,0.6589095178900992
65.0,0.9933,78.387,87.09666666666666,0.5382177296711389,0.5996517794011647,15.0,0.5382207583075306
55.0,1.0561,131.397,145.99666666666664,0.5774360837655882,0.6433466532810923,22.0,0.5774380950577984
