G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
30.0,0.7866,71.052,78.94666666666667,0.3999357100459621,0.44437301116218014
35.0,0.8641,121.945,135.49444444444444,0.6322244782019458,0.7024716424466065
37.5,0.8933,124.839,138.71,0.6279848638312943,0.6977609598125492
40.0,0.914,126.881,140.9788888888889,0.6219098297919653,0.6910109219910725
45.0,0.9627,128.077,142.30777777777777,0.6063232974944839,0.6736925527716488
50.0,1.0103,131.355,145.95,0.5820155577261703,0.6466839530290781
55.0,1.0561,131.397,145.99666666666664,0.5543192675942905,0.6159102973269894
60.0,1.0805,128.842,143.1577777777778,0.5314701401156006,0.5905223779062228
65.0,1.1016,124.145,137.93888888888887,0.5032740060322124,0.5591933400357916
70.0,1.1234,120.787,134.20777777777778,0.4738160544605858,0.5264622827339842
