G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
30.0,0.7015,42.732,47.48,0.3662485585079985,0.406942842786665
35.0,0.7911,86.929,96.58777777777777,0.6742766276923107,0.7491962529914562
37.5,0.8185,91.513,101.68111111111111,0.6743508486201845,0.7492787206890938
40.0,0.8368,91.803,102.00333333333333,0.6688650473658969,0.7431833859621076
45.0,0.8844,94.355,104.83888888888889,0.6465747162831642,0.7184163514257379
50.0,0.9174,93.329,103.69888888888887,0.6182469840089522,0.6869410933432802
55.0,0.9541,92.681,102.97888888888889,0.585244176602469,0.6502713073360767
60.0,0.9677,87.7,97.44444444444444,0.5566819113307412,0.6185354570341568
65.0,0.9933,84.913,94.34777777777778,0.5207438940435396,0.578604326715044
70.0,1.0135,82.158,91.28666666666666,0.4866398836315544,0.5407109818128382
