G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
30.0,0.7363,53.787,59.76333333333333,0.3894458479880487,0.43271760887560967
35.0,0.8234,99.9,111.0,0.6632061582760737,0.7368957314178596
37.5,0.8551,104.8,116.44444444444444,0.658675222212667,0.7318613580140745
40.0,0.8756,106.3,118.1111111111111,0.6528384382490164,0.7253760424989071
45.0,0.9226,107.281,119.20111111111112,0.6315149038640923,0.7016832265156581
50.0,0.9704,107.603,119.55888888888887,0.5998735491613739,0.6665261657348599
55.0,0.9944,104.8,116.44444444444444,0.5760210497092273,0.6400233885658081
60.0,1.0223,102.81,114.23333333333333,0.5432101393034509,0.6035668214482787
65.0,1.0434,98.619,109.57666666666667,0.5116242227284667,0.5684713585871853
70.0,1.0609,94.229,104.69888888888889,0.47827559070104075,0.5314173230011564
