G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8355,107.265,119.18333333333334,0.6575071643237639,0.7305635159152932
37.5,0.8661,109.887,122.09666666666666,0.6519961382095156,0.7244401535661285
40.0,0.8838,112.032,124.47999999999999,0.6485997830357262,0.7206664255952513
45.0,0.9342,113.96,126.6222222222222,0.6269892814913075,0.6966547572125639
50.0,0.976,112.942,125.4911111111111,0.599709190811045,0.6663435453456055
55.0,1.013,113.2,125.77777777777777,0.5721279600055148,0.6356977333394608
60.0,1.0385,109.681,121.86777777777777,0.5417075872191611,0.6018973191324013
65.0,1.0657,105.361,117.06777777777778,0.5055525512267464,0.5617250569186071
70.0,1.0789,101.081,112.31222222222222,0.47735527733205313,0.5303947525911701
