G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8109,94.013,104.4588888888889,0.6683922464183473,0.7426580515759413
37.5,0.8453,97.858,108.73111111111112,0.6615461714495791,0.7350513016106435
40.0,0.8624,99.016,110.01777777777778,0.657432458117959,0.7304805090199544
45.0,0.9165,102.681,114.08999999999999,0.6323620365208084,0.7026244850231204
50.0,0.9498,99.403,110.44777777777779,0.6050788556357187,0.672309839595243
55.0,0.9828,99.713,110.79222222222221,0.5768813000116779,0.6409792222351977
60.0,1.0064,96.223,106.91444444444444,0.5446659889081555,0.6051844321201728
65.0,1.0277,91.445,101.60555555555554,0.5117320390490186,0.5685911544989095
70.0,1.0449,88.619,98.46555555555555,0.47996074161537544,0.5332897129059727
