G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.8562,117.361,130.4011111111111,0.6410274517571366,0.7122527241745962
37.5,0.8862,120.613,134.01444444444445,0.6361739500430428,0.7068599444922699
40.0,0.9086,122.768,136.4088888888889,0.6289104463229523,0.6987893848032803
45.0,0.9595,125.119,139.0211111111111,0.6097651850159814,0.6775168722399794
50.0,1.0019,126.123,140.13666666666666,0.5871204617107822,0.6523560685675358
55.0,1.0362,125.19,139.1,0.5645501738497372,0.6272779709441524
60.0,1.0605,123.429,137.14333333333335,0.5392767799507908,0.5991964221675453
65.0,1.083,117.658,130.73111111111112,0.5072941900718356,0.5636602111909285
70.0,1.1113,114.126,126.80666666666667,0.4738931762929526,0.5265479736588362
