G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
30.0,0.35,14.0,15.555555555555555,0.34071666342985835,0.3785740704776204
35.0,0.42,30.0,33.333333333333336,0.6084226132676043,0.6760251258528936
37.5,,0.0,7,7
40.0,0.46,40.0,44.44444444444444,0.7406883987605616,0.8229871097339573
45.0,0.52,48.0,53.33333333333333,0.7862692232996731,0.87363247033297
50.0,0.55,51.4,57.11111111111111,0.7960380227406689,0.8844866919340766
55.0,0.55,51.5,57.22222222222222,0.7975867348471684,0.8862074831635204
60.0,0.53,49.9,55.44444444444444,0.801969882318393,0.8910776470204367
65.0,0.58,48.7,54.111111111111114,0.7152112719411251,0.7946791910456946
70.0,0.6,48.1,53.44444444444444,0.6828529796240077,0.7587255329155641
