G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
35.0,0.7911,80.094,88.99333333333333,0.6567478626940916,0.7297198474378794
37.5,0.8185,84.545,93.93888888888888,0.661868107897903,0.7354090087754476
40.0,0.8368,84.513,93.90333333333334,0.6538793321683369,0.7265325912981521
45.0,0.8844,87.597,97.32999999999998,0.636421738444203,0.7071352649380033
50.0,0.9174,85.435,94.92777777777778,0.6072810210090801,0.6747566900100891
55.0,0.9541,86.455,96.0611111111111,0.5760568140300176,0.6400631267000196
60.0,0.9677,82.365,91.51666666666667,0.549017232465622,0.6100191471840244
65.0,0.9933,78.387,87.09666666666666,0.5104523249681954,0.5671692499646616
70.0,1.0135,75.668,84.07555555555557,0.4769523636628629,0.5299470707365144
